ID,Size (KB),Title,Authors,Author Birth Years,Languages,LCC Subjects
pg10409,504,The Crisis of the Naval War,"Jellicoe, John Rushworth",1859,en,D501
pg1040,139,The Three Taverns: A Book of Poems,"Robinson, Edwin Arlington",1869,en,PS
pg10417,175,"Love, Life & Work
Being a Book of Opinions Reasonably Good-Natured Concerning How to Attain the Highest Happiness for One's Self with the Least Possible Harm to Others","Hubbard, Elbert",1856,en,BF BJ
pg10418,364,The Money Moon: A Romance,"Farnol, Jeffery",1878,en,PR
pg1041,119,Shakespeare's Sonnets,"Shakespeare, William",1564,en,PR
pg10420,267,The Principles of Success in Literature,"Lewes, George Henry",1817,en,PN
pg10421,564,The Life of Lord Byron,"Galt, John",1779,en,PR
pg10422,294,Caesar Dies,"Mundy, Talbot",1879,en,PR
pg10427,293,Scientific Essays and Lectures,"Kingsley, Charles",1819,en,Q
pg10429,229,Miss Lulu Bett,"Gale, Zona",1874,en,PS
pg10430,226,Trips to the Moon,"Lucian, of Samosata",120,en,PA
pg10431,266,"Thirty Years a Slave
From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter: Autobiography of Louis Hughes","Hughes, Louis",1832,en,E300
pg10432,313,Aunt Jane's Nieces out West,"Baum, L. Frank (Lyman Frank)",1856,en,PZ
pg10433,356,A Flock of Girls and Boys,"Perry, Nora",1831,en,PZ
pg10434,940,"Wyandotté; Or, The Hutted Knoll: A Tale","Cooper, James Fenimore",1789,en,PS
pg10436,218,Erick and Sally,"Spyri, Johanna",1827,en,PZ
pg10437,146,Pulpit and Press (6th Edition),"Eddy, Mary Baker",1821,en,BX
pg10438,555,Up the Hill and Over,"Mackay, Isabel Ecclestone",1875,en,PS
pg1043,640,The Story of Evolution,"McCabe, Joseph",1867,en,QH
pg10440,388,Tutt and Mr. Tutt,"Train, Arthur Cheney",1875,en,PS
pg10441,301,The Green Mouse,"Chambers, Robert W. (Robert William)",1865,en,PS
pg10443,467,The Rayner-Slade Amalgamation,"Fletcher, J. S. (Joseph Smith)",1863,en,PR
pg10444,521,The Peace Negotiations: A Personal Narrative,"Lansing, Robert",1864,en,D501
pg10446,435,"The Green Flag, and Other Stories of War and Sport","Doyle, Arthur Conan",1859,en,PR
pg10447,162,October Vagabonds,"Le Gallienne, Richard",1866,en,PR
pg10449,577,Burnham Breaker,"Greene, Homer",1853,en,PZ
pg10451,1149,"Life of Johnson, Volume 5
Tour to the Hebrides (1773) and Journey into North Wales (1774)","Boswell, James",1740,en,PR
pg10452,460,Peter's Mother,"De La Pasture, Henry, Mrs.",1866,en,PR
pg10457,84,The Lonely Dancer and Other Poems,"Le Gallienne, Richard",1866,en,PR
pg10458,160,"Three short works
The Dance of Death, the Legend of Saint Julian the Hospitaller, a Simple Soul.","Flaubert, Gustave",1821,en,PQ
pg10459,225,The Celtic Twilight,"Yeats, W. B. (William Butler)",1865,en,PR
pg1045,84,Venus and Adonis,"Shakespeare, William",1564,en,PR
pg10460,159,When Day is Done,"Guest, Edgar A. (Edgar Albert)",1881,en,PS
pg10462,611,Clarissa Harlowe; or the history of a young lady — Volume 4,"Richardson, Samuel",1689,en,PR
pg10463,203,The Little House in the Fairy Wood,"Eliot, Ethel Cook",1890,en,PZ
pg10466,167,Little Saint Elizabeth and Other Stories,"Burnett, Frances Hodgson",1849,en,PZ
pg10468,266,Aunt Jane's Nieces in Society,"Baum, L. Frank (Lyman Frank)",1856,en,PZ
pg10469,22,Johnny Crow's Garden,"Brooke, L. Leslie (Leonard Leslie)",1862,en,PZ
pg10473,515,The Heart of the Range,"White, William Patterson",1884,en,PS
pg10474,448,The Lost Naval Papers,"Copplestone, Bennet",1867,en,PS
pg10476,556,"The Vanishing Man
A Detective Romance","Freeman, R. Austin (Richard Austin)",1862,en,PR
pg10477,483,"Beacon Lights of History, Volume 01: The Old Pagan Civilizations","Lord, John",1810,en,D
pg10478,577,"Beacon Lights of History, Volume 02: Jewish Heroes and Prophets","Lord, John",1810,en,D
pg10479,643,"Our Churches and Chapels: Their Parsons, Priests, & Congregations
Being a Critical and Historical Account of Every Place of Worship in Preston",Atticus,1835,en,DA
pg10482,430,The Young Mother: Management of Children in Regard to Health,"Alcott, William A. (William Andrus)",1798,en,HQ
pg10484,499,"Beacon Lights of History, Volume 03: Ancient Achievements","Lord, John",1810,en,D
pg10485,97,Experiments in Government and the Essentials of the Constitution,"Root, Elihu",1845,en,JK
pg10490,183,The Golden Legend,"Longfellow, Henry Wadsworth",1807,en,PS
pg10491,135,"Practice Book, Leland Powers School","Powers, Leland Todd",1857,en,PN
pg10494,384,Henry the Second,"Green, Alice Stopford",1848,en,DA
pg10495,101,Under King Constantine,"Trask, Katrina",1853,en,PS
pg10496,409,"Red Masquerade
Being the Story of the Lone Wolf's Daughter","Vance, Louis Joseph",1879,en,PS
pg1049,413,Vanished Arizona: Recollections of the Army Life by a New England Woman,"Summerhayes, Martha",1844,en,F786
pg104,30,"Inaugural Address of Franklin Delano Roosevelt
Given in Washington, D.C. March 4th, 1933","Roosevelt, Franklin D. (Franklin Delano)",1882,en,E740
pg10509,867,The Bars of Iron,"Dell, Ethel M. (Ethel May)",1881,en,PR
pg1050,107,The Dark Lady of the Sonnets,"Shaw, Bernard",1856,en,PR
pg10510,28,Inaugural Presidential Address,"Clinton, Bill",1946,en,E838
pg10516,317,Bits about Home Matters,"Jackson, Helen Hunt",1830,en,HQ
pg10517,65,"Government and Rebellion
A Sermon Delivered in the North Broad Street Presbyterian Church, Sunday Morning, April 28, 1861","Adams, E. E. (Ezra Eastman)",1813,en,E456
pg10518,143,Poems,"Hay, John",1838,en,PS
pg10519,450,Mercy Philbrick's Choice,"Jackson, Helen Hunt",1830,en,PS
pg1051,500,Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,"Carlyle, Thomas",1795,en,PR
pg10521,586,"The Primadonna
A Sequel to ""Fair Margaret""","Crawford, F. Marion (Francis Marion)",1854,en,PS
pg10522,508,"Beacon Lights of History, Volume 04: Imperial Antiquity","Lord, John",1810,en,D
pg10531,554,"Beacon Lights of History, Volume 05: The Middle Ages","Lord, John",1810,en,D
pg10532,607,"Beacon Lights of History, Volume 06: Renaissance and Reformation","Lord, John",1810,en,D
pg10533,506,"Beacon Lights of History, Volume 07: Great Women","Lord, John",1810,en,D
pg10534,424,The Double Traitor,"Oppenheim, E. Phillips (Edward Phillips)",1866,en,PR
pg10537,376,The Governors,"Oppenheim, E. Phillips (Edward Phillips)",1866,en,PR
pg10540,423,Mother Carey's Chickens,"Wiggin, Kate Douglas Smith",1856,en,PS
pg10542,330,"The Boats of the ""Glen Carrig""
Being an account of their Adventures in the Strange places of the Earth, after the foundering of the good ship Glen Carrig through striking upon a hidden rock in the unknown seas to the Southward; as told by John Winterstraw, Gent., to his son James Winterstraw, in the year 1757, and by him committed very properly and legibly to manuscript","Hodgson, William Hope",1877,en,PR
pg10545,951,"The Sea Lions; Or, The Lost Sealers","Cooper, James Fenimore",1789,en,PS
pg10546,235,So Runs the World,"Sienkiewicz, Henryk",1846,en,PG
pg10548,230,The Westcotes,"Quiller-Couch, Arthur",1863,en,PR
pg10549,724,A Romance of the Republic,"Child, Lydia Maria",1802,en,PS
pg10551,302,Affair in Araby,"Mundy, Talbot",1879,en,PR
pg10552,244,Roy Blakeley: His Story,"Fitzhugh, Percy Keese",1876,en,PZ
pg10554,425,"Right Ho, Jeeves","Wodehouse, P. G. (Pelham Grenville)",1881,en,PR
pg10555,1148,"The Life of Marie Antoinette, Queen of France","Yonge, Charles Duke",1812,en,DC
pg10556,418,The Old Man in the Corner,"Orczy, Emmuska Orczy, Baroness",1865,en,PR
pg10557,22,Johnny Crow's Party,"Brooke, L. Leslie (Leonard Leslie)",1862,en,PZ
pg10560,637,"The Last of the Foresters
Or, Humors on the Border; A story of the Old Virginia Frontier","Cooke, John Esten",1830,en,PS
pg10561,42,"Fine Feathers
Ship's Company, Part 1.","Jacobs, W. W. (William Wymark)",1863,en,PR
pg10562,42,"Friends in Need
Ship's Company, Part 2.","Jacobs, W. W. (William Wymark)",1863,en,PR
pg10563,42,"Good Intentions
Ship's Company, Part 3.","Jacobs, W. W. (William Wymark)",1863,en,PR
pg10564,42,"Fairy Gold
Ship's Company, Part 4.","Jacobs, W. W. (William Wymark)",1863,en,PR
pg10565,41,"Watch-Dogs
Ship's Company, Part 5.","Jacobs, W. W. (William Wymark)",1863,en,PR
pg10566,41,"The Bequest
Ship's Company, Part 6.","Jacobs, W. W. (William Wymark)",1863,en,PR
pg10567,43,"The Guardian Angel
Ship's Company, Part 7.","Jacobs, W. W. (William Wymark)",1863,en,PR
pg10568,40,"Dual Control
Ship's Company, Part 8.","Jacobs, W. W. (William Wymark)",1863,en,PR
pg10569,40,"Skilled Assistance
Ship's Company, Part 9.","Jacobs, W. W. (William Wymark)",1863,en,PR
pg1056,791,Martin Eden,"London, Jack",1876,en,PS
pg10570,40,"For Better or Worse
Ship's Company, Part 10.","Jacobs, W. W. (William Wymark)",1863,en,PR
pg10571,43,"The Old Man of the Sea
Ship's Company, Part 11.","Jacobs, W. W. (William Wymark)",1863,en,PR
